Student ID,Grade,GPA
S06253,B,3.22
S04685,B,3.02
S01732,A,3.56
S04743,B,3.33
S04522,B,3.29
S06341,B,3.02
S00577,A+,3.71
S05203,B,3.36
S06364,B,3.28
S00440,A+,3.92
S02751,A,3.5
S07488,C,2.31
S05273,B,3.33
S05654,B,3.33
S04000,B,3.11
S06034,B,3.1
S00583,A+,3.86
S09931,D,1.8
S07052,C,2.97
S08159,C,2.87
S09897,D,1.61
S02250,A,3.52
S04641,B,3.26
S09486,C,2.01
S04948,B,3.42
S09921,D,1.82
S01964,A,3.51
S08244,C,2.57
S06591,C,2.94
S08848,C,2.85
S00322,A+,3.74
S02679,A,3.56
S04626,B,3.31
S04950,B,3.04
S08329,C,2.42
S03338,A,3.52
S05590,B,3.27
S00252,A+,3.98
S03974,B,3.17
S06631,C,2.16
S05548,B,3.31
S00036,A+,3.65
S08363,C,2.25
S01514,A,3.54
S09318,C,2.87
S00040,A+,3.76
S04820,B,3.16
S03466,A,3.57
S01761,A,3.56
S02305,A,3.52
S03724,B,3.41
S08285,C,2.75
S04994,B,3.36
S08128,C,2.97
S03033,A,3.53
S07939,C,2.6
S03040,A,3.51
S09656,D,1.8
S02546,A,3.55
S02593,A,3.56
S01189,A+,3.81
S07967,C,2.66
S06078,B,3.38
S00108,A+,3.83
S01316,A+,3.6
S08188,C,2.5
S02754,A,3.53
S09754,D,1.94
S06232,B,3.14
S02877,A,3.55
S05324,B,3.34
S00800,A+,3.83
S03571,B,3.01
S02895,A,3.51
S02928,A,3.51
S08179,C,2.29
S00972,A+,3.7
S06688,C,2.96
S08576,C,2.34
S02021,A,3.56
S09055,C,2.98
S00953,A+,3.95
S05360,B,3.12
S03858,B,3.15
S05862,B,3.39
S03146,A,3.51
S03306,A,3.57
S03007,A,3.56
S09002,C,2.54
S07771,C,2.58
S07439,C,2.93
S07943,C,2.18
S09239,C,2.27
S01057,A+,4
S03155,A,3.53
S03788,B,3.09
S09190,C,2.49
S07826,C,2.17
S07540,C,2.17
S07232,C,2
S00765,A+,3.92
S05020,B,3.18
S04904,B,3.48
S08094,C,2.2
S06844,C,2.85
S02166,A,3.52
S01863,A,3.52
S07851,C,2.89
S09124,C,2.42
S02341,A,3.51
S05528,B,3.34
S06744,C,2.73
S04004,B,3.48
S01124,A+,3.67
S08710,C,2.61
S04050,B,3.16
S07641,C,2.93
S00766,A+,3.59
S02345,A,3.55
S04072,B,3.27
S07217,C,2.28
S04217,B,3.4
S07953,C,2.38
S05971,B,3.46
S03351,A,3.51
S04696,B,3.3
S03400,A,3.56
S04082,B,3.08
S09150,C,2.82
S01225,A+,3.77
S06293,B,3.45
S03123,A,3.54
S00511,A+,3.94
S05795,B,3.15
S08182,C,2.05
S09418,C,2.24
S00097,A+,3.9
S06682,C,2.3
S01513,A,3.5
S08792,C,2.96
S00120,A+,3.91
S07792,C,2.83
S06518,C,2.72
S00034,A+,3.69
S07888,C,2.95
S06831,C,2.8
S05422,B,3.23
S01069,A+,3.77
S01348,A+,3.83
S04748,B,3.21
S06006,B,3.24
S06040,B,3.28
S03818,B,3.08
S08447,C,2.5
S05270,B,3.15
S06898,C,2.1
S05310,B,3.32
S00032,A+,3.95
S05675,B,3.3
S04387,B,3.16
S00030,A+,3.94
S04203,B,3.13
S07508,C,2.72
S00736,A+,4
S02068,A,3.51
S00107,A+,3.91
S09645,D,1.85
S08895,C,2.44
S08021,C,2.97
S02233,A,3.5
S00994,A+,3.64
S09413,C,2.87
S07059,C,2.35
S06790,C,2.27
S00361,A+,3.69
S00305,A+,3.73
S02628,A,3.57
S08966,C,2.48
S04514,B,3.43
S05911,B,3.23
S08314,C,2.89
S03101,A,3.52
S05704,B,3.02
S03899,B,3.32
S05441,B,3.03
S07931,C,2.17
S00622,A+,3.58
S07236,C,2.11
S02499,A,3.56
S00714,A+,3.81
S08404,C,2.42
S02856,A,3.54
S04270,B,3.34
S02909,A,3.57
S08081,C,2.84
S04517,B,3.18
S01262,A+,3.67
S03161,A,3.53
S00971,A+,3.62
S03913,B,3.38
S05199,B,3.3
S08847,C,2.33
S00260,A+,3.95
S03791,B,3.26
S09203,C,2.52
S00488,A+,3.71
S07908,C,2.02
S00519,A+,3.8
S08343,C,2.92
S00312,A+,3.74
S03232,A,3.55
S07933,C,2.09
S07458,C,2.06
S09784,D,1.57
S05184,B,3.03
S08077,C,2.88
S06502,C,2.3
S06791,C,2.82
S07773,C,2.78
S02738,A,3.56
S07842,C,2.92
S06262,B,3.11
S08206,C,2.15
S01248,A+,3.74
S09336,C,2.29
S04195,B,3.24
S08001,C,2.01
S07378,C,2.77
S03435,A,3.57
S05382,B,3.46
S00959,A+,3.86
S00417,A+,3.81
S05742,B,3.11
S06728,C,2.46
S04382,B,3.35
S05197,B,3.18
S01113,A+,3.57
S02689,A,3.53
S06473,B,3.23
S08820,C,2.82
S07808,C,2.43
S03411,A,3.53
S00081,A+,3.82
S04614,B,3.36
S01374,A+,3.68
S01510,A,3.54
S06443,B,3.27
S03071,A,3.55
S03016,A,3.55
S04823,B,3.22
S07822,C,2.48
S00093,A+,3.81
S09421,C,2.96
S06600,C,2.44
S04443,B,3.34
S07602,C,2.11
S03835,B,3.25
S09702,D,1.48
S04322,B,3.48
S03394,A,3.53
S04752,B,3.18
S07229,C,2.09
S09191,C,2.76
S02361,A,3.55
S01148,A+,3.63
S05666,B,3.07
S08075,C,2.77
S04943,B,3.16
S03663,B,3.15
S01563,A,3.54
S04113,B,3.42
S09050,C,2.42
S09276,C,2.29
S08538,C,2.03
S00795,A+,3.75
S05854,B,3.04
S07619,C,2.82
S01594,A,3.53
S07418,C,2.98
S05267,B,3.33
S07147,C,2.63
S00089,A+,3.77
S08695,C,2.44
S09732,D,1.98
S09446,C,2.52
S06754,C,2.14
S03502,B,3.35
S02234,A,3.53
S02803,A,3.56
S04424,B,3.2
S05663,B,3.24
S07170,C,2.9
S08337,C,2.01
S02148,A,3.53
S07969,C,2.78
S06551,C,2.78
S07643,C,2.07
S06164,B,3.01
S01495,A+,3.77
S07696,C,2.37
S07094,C,2.34
S01409,A+,3.97
S06691,C,2.21
S03401,A,3.52
S00109,A+,3.97
S05636,B,3.38
S08482,C,2.12
S06604,C,2.23
S01091,A+,3.91
S05560,B,3.45
S09412,C,2.67
S08143,C,2.38
S08664,C,2.45
S06596,C,2.94
S00624,A+,3.61
S06871,C,2.11
S04814,B,3.34
S06553,C,2.88
S07530,C,2.5
S05796,B,3.06
S07437,C,2.07
S04218,B,3.42
S05941,B,3.28
S08501,C,2.03
S06429,B,3.4
S06827,C,2.58
S04131,B,3.31
S07802,C,2.83
S07754,C,2.14
S04722,B,3.46
S01651,A,3.51
S04141,B,3.21
S01618,A,3.55
S02030,A,3.51
S08518,C,2.75
S04576,B,3.13
S03993,B,3.08
S07377,C,2.4
S06150,B,3.09
S04909,B,3.16
S05027,B,3.18
S08261,C,2.24
S04732,B,3.12
S07549,C,2.12
S08135,C,2.42
S01607,A,3.55
S04774,B,3.21
S08110,C,2.6
S06952,C,2.59
S06005,B,3.18
S07729,C,2.58
S03542,B,3.27
S00389,A+,3.67
S01795,A,3.52
S08732,C,2.52
S04920,B,3.25
S05538,B,3.41
S03873,B,3.04
S08869,C,2.23
S02255,A,3.51
S03413,A,3.55
S05460,B,3.18
S04956,B,3.13
S07397,C,2.62
S05415,B,3.02
S07400,C,2.16
S07415,C,2.12
S09101,C,2.72
S04852,B,3.38
S02026,A,3.56
S02616,A,3.56
S07389,C,2.75
S02927,A,3.55
S01122,A+,3.97
S02911,A,3.54
S08147,C,2.82
S07384,C,2.62
S03483,A,3.55
S00796,A+,3.94
S01576,A,3.53
S06177,B,3.14
S06267,B,3.31
S02459,A,3.57
S03313,A,3.52
S01254,A+,3.88
S06835,C,2.99
S08795,C,2.43
S03838,B,3.05
S04399,B,3.16
S03596,B,3.18
S06622,C,2.48
S08383,C,2.65
S02125,A,3.5
S03239,A,3.56
S05404,B,3.4
S05999,B,3.39
S05939,B,3.16
S02046,A,3.56
S01579,A,3.52
S00015,A+,3.64
S02674,A,3.53
S07017,C,2.41
S08721,C,2.48
S08850,C,2.42
S04813,B,3.26
S01085,A+,3.86
S04984,B,3.12
S07156,C,2.92
S02885,A,3.53
S00334,A+,3.58
S07205,C,2.47
S04368,B,3.27
S03080,A,3.55
S07204,C,2.85
S09910,D,1.67
S08865,C,2.38
S00264,A+,3.87
S04338,B,3.38
S08896,C,2.6
S08448,C,2.11
S05904,B,3.41
S01499,A+,3.98
S04191,B,3.09
S07486,C,2.74
S09644,D,1.66
S08311,C,2.44
S07591,C,2.29
S00501,A+,3.87
S09156,C,2.75
S09415,C,2.56
S03096,A,3.52
S04632,B,3.41
S00368,A+,3.82
S04059,B,3.37
S08175,C,2.16
S04631,B,3.16
S06071,B,3.41
S02665,A,3.5
S01027,A+,3.63
S05909,B,3.35
S05051,B,3.33
S06329,B,3.46
S09734,D,1.78
S01692,A,3.51
S00674,A+,3.94
S05573,B,3.26
S05767,B,3.21
S05157,B,3.34
S00734,A+,3.81
S03527,B,3.32
S00569,A+,3.83
S09188,C,2.95
S02923,A,3.56
S07912,C,2.33
S01559,A,3.52
S00102,A+,3.6
S03008,A,3.52
S07202,C,2.92
S00304,A+,3.98
S00077,A+,3.72
S06755,C,2.62
S08630,C,2.43
S01209,A+,3.72
S07743,C,2.65
S08215,C,2.93
S08945,C,2.09
S08414,C,2.98
S01776,A,3.52
S03474,A,3.55
S00484,A+,3.71
S02190,A,3.56
S00347,A+,3.6
S05482,B,3.4
S08362,C,2.51
S01473,A+,3.79
S05101,B,3.1
S06766,C,2.1
S08707,C,2.53
S04930,B,3.22
S06330,B,3.27
S02610,A,3.53
S00004,A+,3.65
S02214,A,3.55
S04828,B,3.42
S00857,A+,3.82
S06978,C,2.46
S05886,B,3.05
S00625,A+,3.92
S00291,A+,3.87
S02019,A,3.54
S00669,A+,3.61
S08922,C,2.01
S08265,C,2.92
S09697,D,1.28
S01632,A,3.55
S05171,B,3.15
S07206,C,2.58
S02523,A,3.52
S02216,A,3.53
S06969,C,2.53
S06497,B,3.28
S06214,B,3.09
S07033,C,2.31
S07421,C,2.12
S01108,A+,3.57
S00451,A+,3.94
S06290,B,3.12
S09967,D,1.87
S00136,A+,3.67
S01786,A,3.53
S03405,A,3.55
S02907,A,3.51
S08305,C,2.37
S07493,C,2.74
S06101,B,3.35
S04505,B,3.15
S05054,B,3.18
S05206,B,3.46
S04081,B,3.11
S06919,C,2.05
S06803,C,2.76
S05207,B,3.5
S00533,A+,3.82
S04831,B,3.01
S04039,B,3.18
S04085,B,3.27
S03205,A,3.56
S07111,C,2.81
S00331,A+,3.88
S04958,B,3.22
S03034,A,3.55
S07685,C,2.34
S01598,A,3.51
S09920,D,1.96
S03598,B,3.09
S09039,C,2.29
S08002,C,2.37
S00591,A+,3.78
S00648,A+,3.86
S09103,C,2.11
S08016,C,2.6
S03772,B,3.17
S09040,C,2.03
S05083,B,3.15
S07883,C,2.85
S09363,C,2.58
S04211,B,3.2
S08835,C,2.11
S08700,C,2.77
S01796,A,3.55
S02587,A,3.51
S08356,C,2.23
S02317,A,3.56
S04186,B,3.41
S08828,C,2.58
S07073,C,2.61
S05235,B,3.31
S08744,C,2.76
S08671,C,2.23
S04769,B,3.11
S09973,D,1.27
S07145,C,2.45
S02914,A,3.56
S09872,D,1.22
S09894,D,1.87
S02076,A,3.5
S04303,B,3.28
S05823,B,3.11
S02150,A,3.56
S00145,A+,3.88
S04964,B,3.09
S08160,C,2.87
S09031,C,2.18
S04776,B,3.22
S08934,C,2.9
S07750,C,2.53
S09829,D,1.36
S09215,C,2.43
S06061,B,3.35
S09476,C,2.7
S06410,B,3.11
S03318,A,3.56
S07465,C,2.92
S03062,A,3.56
S01356,A+,3.76
S04515,B,3.32
S05506,B,3.03
S05251,B,3.09
S04512,B,3.33
S01731,A,3.54
S01759,A,3.56
S06651,C,2.03
S06647,C,2.87
S09861,D,1.65
S04140,B,3.46
S09394,C,2.1
S05124,B,3.23
S00001,A+,3.9
S01865,A,3.53
S00544,A+,3.69
S00350,A+,3.83
S06907,C,2.78
S09766,D,1.85
S02524,A,3.54
S03465,A,3.52
S00458,A+,3.64
S03024,A,3.54
S07262,C,2.13
S09516,D,1.41
S07873,C,2.86
S06626,C,2.72
S02535,A,3.53
S00132,A+,3.71
S03705,B,3.21
S01373,A+,3.67
S06201,B,3.29
S04857,B,3
S04713,B,3.26
S05545,B,3.37
S01414,A+,3.7
S04114,B,3.37
S00656,A+,3.61
S08138,C,2.91
S04099,B,3.26
S00593,A+,3.99
S08709,C,2.34
S03124,A,3.53
S03048,A,3.55
S03888,B,3.38
S05736,B,3.07
S02185,A,3.54
S02146,A,3.54
S07048,C,2.35
S03106,A,3.56
S09234,C,2.5
S09097,C,2.5
S02770,A,3.57
S05222,B,3.19
S05834,B,3.1
S01733,A,3.56
S00266,A+,3.67
S05145,B,3.21
S08268,C,2.85
S03938,B,3.25
S00762,A+,3.87
S07221,C,2.42
S08440,C,2.3
S03258,A,3.56
S04339,B,3.21
S04363,B,3.39
S00317,A+,3.79
S08070,C,2.16
S01852,A,3.55
S02485,A,3.56
S09874,D,1.94
S09575,D,1.82
S01079,A+,3.67
S08359,C,2.72
S07334,C,2.72
S01072,A+,3.77
S00104,A+,3.92
S05749,B,3.37
S01419,A+,3.88
S01659,A,3.55
S05285,B,3.15
S01150,A+,3.73
S07151,C,2.59
S01569,A,3.53
S01088,A+,3.81
S06086,B,3.13
S08675,C,2.9
S08342,C,2.36
S07812,C,2.84
S06085,B,3.1
S08774,C,2.6
S08758,C,2.17
S01693,A,3.57
S04735,B,3.25
S03388,A,3.55
S03647,B,3.27
S01684,A,3.52
S00009,A+,3.81
S06063,B,3.32
S06517,C,2.28
S04124,B,3.03
S08730,C,2.48
S06046,B,3.07
S00568,A+,3.73
S09162,C,2.06
S01804,A,3.55
S08502,C,2.48
S04901,B,3.47
S01600,A,3.55
S07932,C,2.23
S09548,D,1.76
S02824,A,3.56
S05468,B,3.01
